t,link_count,changed,add_edges,del_edges
932,583,0,0,0
933,583,0,0,0
934,583,0,0,0
935,583,0,0,0
936,583,0,0,0
937,583,0,0,0
938,583,0,0,0
939,583,0,0,0
940,583,0,0,0
941,583,0,0,0
942,583,0,0,0
943,583,0,0,0
944,583,0,0,0
945,583,0,0,0
946,583,0,0,0
947,583,0,0,0
948,583,0,0,0
949,583,0,0,0
950,583,0,0,0
951,583,0,0,0
952,589,1,6,0
953,589,0,0,0
954,589,0,0,0
955,589,0,0,0
956,589,0,0,0
957,589,0,0,0
958,589,0,0,0
959,589,0,0,0
960,589,0,0,0
961,589,0,0,0
962,589,0,0,0
963,589,0,0,0
964,589,0,0,0
965,589,0,0,0
966,589,0,0,0
967,589,0,0,0
968,589,0,0,0
969,589,0,0,0
970,589,0,0,0
971,589,0,0,0
972,589,0,0,0
973,589,0,0,0
974,589,0,0,0
975,589,0,0,0
976,589,0,0,0
977,589,0,0,0
978,589,0,0,0
979,589,0,0,0
980,589,0,0,0
981,589,0,0,0
982,589,0,0,0
983,589,0,0,0
984,589,0,0,0
985,589,0,0,0
986,589,0,0,0
987,589,0,0,0
988,589,0,0,0
989,589,0,0,0
990,589,0,0,0
991,589,0,0,0
992,589,0,0,0
993,589,0,0,0
994,589,0,0,0
995,589,0,0,0
996,589,0,0,0
997,589,0,0,0
998,589,0,0,0
999,589,0,0,0
1000,589,0,0,0
1001,589,0,0,0
1002,589,0,0,0
1003,548,1,0,41
1004,548,0,0,0
1005,548,0,0,0
1006,548,0,0,0
1007,548,0,0,0
1008,548,0,0,0
1009,548,0,0,0
1010,548,0,0,0
1011,548,0,0,0
1012,548,0,0,0
1013,548,0,0,0
1014,548,0,0,0
1015,548,0,0,0
1016,548,0,0,0
1017,548,0,0,0
1018,548,0,0,0
1019,548,0,0,0
1020,548,0,0,0
1021,548,0,0,0
1022,548,0,0,0
1023,548,0,0,0
1024,548,0,0,0
1025,548,0,0,0
1026,548,0,0,0
1027,548,0,0,0
1028,548,0,0,0
1029,548,0,0,0
1030,548,0,0,0
1031,548,0,0,0
1032,548,0,0,0
1033,548,0,0,0
1034,548,0,0,0
1035,548,0,0,0
1036,548,0,0,0
1037,548,0,0,0
1038,548,0,0,0
1039,548,0,0,0
1040,548,0,0,0
1041,548,0,0,0
1042,548,0,0,0
1043,548,0,0,0
1044,548,0,0,0
1045,548,0,0,0
1046,548,0,0,0
1047,548,0,0,0
1048,548,0,0,0
1049,548,0,0,0
1050,548,0,0,0
1051,548,0,0,0
1052,548,0,0,0
1053,548,0,0,0
1054,548,0,0,0
1055,548,0,0,0
1056,548,0,0,0
1057,548,0,0,0
1058,548,0,0,0
1059,548,0,0,0
1060,548,0,0,0
1061,548,0,0,0
1062,548,0,0,0
1063,583,1,41,6
1064,583,0,0,0
1065,583,0,0,0
1066,583,0,0,0
1067,583,0,0,0
1068,583,0,0,0
